periodic_K,instance_seed,graph_seed,n,m_edges,switch_count,switch_density,Jcl_max_grid,budget_evals,auc_id,auc_fd,auc_gain,id_evals_end,fd_evals_end,id_best_end_norm,fd_best_end_norm,id_wins_auc
2,200007,7,12,35,2,0.2,68.70122446150009,2000.0,0.7997555450704845,0.762916861397066,0.03683868367341847,1984.0,1953.0,0.8340870154789444,0.8181787017170012,1
2,200008,7,12,27,10,1.0,58.3068014511455,2000.0,0.7876778247830476,0.7509013428864304,0.0367764818966172,1984.0,1953.0,0.8682307264843455,0.8118945846832497,1
2,200009,7,12,31,7,0.7,67.11955779943277,2000.0,0.7212802846607539,0.6959907127739042,0.02528957188684966,1984.0,1953.0,0.7918357342056915,0.7776935357778223,1
2,200010,7,12,32,2,0.2,62.82771309598235,2000.0,0.7927114685040952,0.7530995196717248,0.0396119488323704,1984.0,1953.0,0.826955564759101,0.8265869658660642,1
2,200011,7,12,26,4,0.4,62.95154102041751,2000.0,0.6993745845538812,0.6554408941906293,0.0439336903632519,1984.0,1953.0,0.7777023998238201,0.7252548481377931,1
2,200012,7,12,34,5,0.5,68.06390176923472,2000.0,0.7720086242331629,0.738730827409346,0.03327779682381682,1984.0,1953.0,0.8043204227245734,0.7934141630383841,1
2,200013,7,12,30,7,0.7,60.91711183340299,2000.0,0.78084670824836,0.7663189310788434,0.014527777169516587,1984.0,1953.0,0.80449215499163,0.8017571849587994,1
2,200014,7,12,25,4,0.4,53.97643020253747,2000.0,0.7792882547015869,0.7619862533141909,0.017302001387396015,1984.0,1953.0,0.8101117326273088,0.8041291587347559,1
2,200015,7,12,32,0,0.0,63.91589505929214,2000.0,0.7898369823543451,0.7498160812330753,0.04002090112126977,1984.0,1953.0,0.8276636233478653,0.7941893622234081,1
2,200016,7,12,21,5,0.5,48.231419616127084,2000.0,0.714194664621478,0.6843591432113267,0.029835521410151222,1984.0,1953.0,0.7749167807934345,0.741510061893749,1
3,300007,7,12,26,9,0.9,55.79870882473571,2000.0,0.7898827717127623,0.7572880645290317,0.03259470718373059,1984.0,1953.0,0.8276259646865577,0.8110501119597127,1
3,300008,7,12,26,7,0.7,53.50023137874167,2000.0,0.8076480565026752,0.7487520312518267,0.05889602525084858,1984.0,1953.0,0.8800840711092714,0.8333988576339723,1
3,300009,7,12,35,2,0.2,67.64915243703933,2000.0,0.7756535445906979,0.7627420509222547,0.012911493668443241,1984.0,1953.0,0.8128558512661546,0.8397567026025444,1
3,300010,7,12,25,0,0.0,54.33725667569611,2000.0,0.7477799471410609,0.7381684132550211,0.009611533886039747,1984.0,1953.0,0.7862532238123889,0.7708489031720459,1
3,300011,7,12,36,5,0.5,71.58063978192283,2000.0,0.7564744723960674,0.7308797766536382,0.02559469574242912,1984.0,1953.0,0.7919996056043341,0.7608605523896966,1
3,300012,7,12,27,4,0.4,56.40380645336597,2000.0,0.7955429955161285,0.763791434265649,0.03175156125047951,1984.0,1953.0,0.8291465207327409,0.8267454515378765,1
3,300013,7,12,36,10,1.0,72.1918297284895,2000.0,0.77530869273004,0.7615838869442507,0.013724805785789274,1984.0,1953.0,0.8109562145472438,0.8060566003261382,1
3,300014,7,12,29,13,1.3,56.57988666625778,2000.0,0.8185806979922317,0.7907265241318288,0.027854173860402898,1984.0,1953.0,0.8648626545428345,0.8403034117803421,1
3,300015,7,12,31,9,0.9,60.3420305570413,2000.0,0.7870435195658777,0.7307283414293071,0.05631517813657061,1984.0,1953.0,0.822987658137763,0.789555224331145,1
3,300016,7,12,28,8,0.8,57.243387562779716,2000.0,0.8029404987928065,0.7702693864219897,0.03267111237081677,1984.0,1953.0,0.846820994360619,0.8348492106980777,1
4,400007,7,12,26,6,0.6,55.56991715638554,2000.0,0.7947429301260154,0.7847182928526768,0.010024637273338577,1984.0,1953.0,0.8284008274287139,0.8281417733529015,1
4,400008,7,12,27,16,1.6,55.660877758548324,2000.0,0.796518402424123,0.7486244272238645,0.04789397520025851,1984.0,1953.0,0.8470797145695946,0.8278709965568014,1
4,400009,7,12,24,0,0.0,56.72607482069182,2000.0,0.73792018562334,0.7187662866583132,0.01915389896502684,1984.0,1953.0,0.776002589970229,0.7797882187994262,1
4,400010,7,12,35,11,1.1,73.83627918303259,2000.0,0.7691346863143314,0.7461931520051782,0.022941534309153133,1984.0,1953.0,0.8013337109643728,0.7888200134075807,1
4,400011,7,12,35,13,1.3,70.98108483153548,2000.0,0.8373120195650148,0.8025177578055424,0.03479426175947242,1984.0,1953.0,0.8773015085224934,0.852025720993061,1
4,400012,7,12,29,5,0.5,61.35549188973731,2000.0,0.7513219115914203,0.7281781374804911,0.02314377411092916,1984.0,1953.0,0.779949532242095,0.7707946133711852,1
4,400013,7,12,38,9,0.9,72.53908068100803,2000.0,0.835155469589512,0.804669837097707,0.030485632491805026,1984.0,1953.0,0.8661274677739825,0.8521381937497985,1
4,400014,7,12,27,2,0.2,59.647782364211565,2000.0,0.7824097878650412,0.7596307437520508,0.022779044112990476,1984.0,1953.0,0.8189532283051506,0.8087556515059828,1
4,400015,7,12,30,17,1.7,62.09285119518452,2000.0,0.8120091341173836,0.7783993234606192,0.03360981065676438,1984.0,1953.0,0.8447432204225005,0.8371066343948564,1
4,400016,7,12,29,17,1.7,58.91200374470927,2000.0,0.7997398544887623,0.7665272473228123,0.03321260716594998,1984.0,1953.0,0.8352388416678919,0.8288877818563124,1
5,500007,7,12,35,16,1.6,71.2272697518739,2000.0,0.7844421796214047,0.74480687332003,0.039635306301374684,1984.0,1953.0,0.8278644643083761,0.7978653524587779,1
5,500008,7,12,34,18,1.8,65.22657940064639,2000.0,0.8404766419820792,0.7952190013287549,0.04525764065332427,1984.0,1953.0,0.8844108817056427,0.8445172956400225,1
5,500009,7,12,37,2,0.2,77.26033024319025,2000.0,0.7803624024896161,0.754348194994287,0.026014207495329122,1984.0,1953.0,0.8203460010290999,0.803537702689488,1
5,500010,7,12,26,9,0.9,54.47202856899013,2000.0,0.794652484867275,0.7429940036779077,0.05165848118936733,1984.0,1953.0,0.8492652563476673,0.8329190136592303,1
5,500011,7,12,30,12,1.2,58.65999038838285,2000.0,0.81281123283909,0.7745898989381463,0.03822133390094362,1984.0,1953.0,0.8601904531652969,0.8486817324201728,1
5,500012,7,12,29,28,2.8,54.563929306558926,2000.0,0.9015109444766473,0.8593235153813302,0.04218742909531703,1984.0,1953.0,0.946256873365386,0.9241031511894364,1
5,500013,7,12,24,8,0.8,51.94406836198693,2000.0,0.7470377017973974,0.6951922097528895,0.051845492044507835,1984.0,1953.0,0.7949478218625952,0.7404692192784292,1
5,500014,7,12,33,12,1.2,66.63288750072081,2000.0,0.8101432402120566,0.7626501385235109,0.0474931016885457,1984.0,1953.0,0.8645525239378575,0.8204081051928533,1
5,500015,7,12,30,7,0.7,63.31774701754001,2000.0,0.8117834471771178,0.7861597362550725,0.025623710922045295,1984.0,1953.0,0.8501008752024619,0.8393035271811848,1
5,500016,7,12,29,16,1.6,58.68435659141913,2000.0,0.8427058348763733,0.7994112698907894,0.04329456498558393,1984.0,1953.0,0.8964552259667408,0.8675629110158528,1
6,600007,7,12,21,27,2.7,44.89751787790087,2000.0,0.7133838390075949,0.6514063991954283,0.061977439812166635,1984.0,1953.0,0.754302423009548,0.7043127609191889,1
6,600008,7,12,35,15,1.5,69.12441451991002,2000.0,0.8172713596539386,0.7864699638219421,0.03080139583199648,1984.0,1953.0,0.8514342474368711,0.8395225455995762,1
6,600009,7,12,26,4,0.4,55.06275047055232,2000.0,0.7628279820254097,0.7377998446905419,0.02502813733486775,1984.0,1953.0,0.7919429961917849,0.7947236409326671,1
6,600010,7,12,28,19,1.9,56.62545915059417,2000.0,0.8111078849198237,0.774492986945072,0.0366148979747517,1984.0,1953.0,0.8554577831701565,0.8426689919674999,1
6,600011,7,12,37,17,1.7,71.28585029932744,2000.0,0.7961176950132517,0.7708343067908491,0.025283388222402614,1984.0,1953.0,0.8291667302388811,0.831858913869068,1
6,600012,7,12,28,10,1.0,61.87937595395134,2000.0,0.7482153101995584,0.735888419473075,0.012326890726483408,1984.0,1953.0,0.7869253476360608,0.8117201441997886,1
6,600013,7,12,34,12,1.2,69.84665028757838,2000.0,0.8205777119687139,0.771533576738194,0.04904413523051987,1984.0,1953.0,0.864536121865965,0.8404173071372812,1
6,600014,7,12,27,17,1.7,59.53787175174543,2000.0,0.7428750016870911,0.7357542199136053,0.00712078177348574,1984.0,1953.0,0.7997269852655188,0.7909117448361508,1
6,600015,7,12,31,16,1.6,67.14673835660463,2000.0,0.7419533587279004,0.7261409069604886,0.01581245176741175,1984.0,1953.0,0.7714987619030202,0.7694449059057434,1
6,600016,7,12,33,20,2.0,68.06586591569567,2000.0,0.8192734782177455,0.7975474775370557,0.02172600068068986,1984.0,1953.0,0.864436728702845,0.8350282964490703,1
