seed,kind,periodic_K,graph_seed,n,p_edge,shots,budget_evals,inner_iters,restarts,Jstar,auc_id,auc_fd,auc_gain,evals_end_id,evals_end_fd
7,periodic,6,7,12,0.45,0,2000.0,14,1,59.57906120070327,0.7917727141610262,0.7420300917976816,0.04974262236334459,1978.0,1935.0
7,periodic,6,7,12,0.45,0,2000.0,28,1,59.57906120070327,0.780578701314909,0.768136371607701,0.012442329707208044,1955.0,1785.0
7,periodic,6,7,12,0.45,0,2000.0,42,1,59.57906120070327,0.8065867837292486,0.7918217373383364,0.014765046390912251,1905.0,1905.0
7,periodic,6,7,12,0.45,0,2000.0,14,2,59.57906120070327,0.7532859731430844,0.7211610582189009,0.03212491492418357,1955.0,1785.0
7,periodic,6,7,12,0.45,0,2000.0,28,2,59.57906120070327,0.7684095624179912,0.739054330381577,0.029355232036414214,1859.0,1521.0
7,periodic,6,7,12,0.45,0,2000.0,42,2,59.57906120070327,0.7636037322576065,0.7577906960901426,0.00581303616746387,1771.0,1518.0
7,periodic,6,7,12,0.45,0,2000.0,14,4,59.57906120070327,0.7653797323864203,0.7046303246585677,0.060749407727852645,1859.0,1521.0
7,periodic,6,7,12,0.45,0,2000.0,28,4,59.57906120070327,0.7457232450952672,0.7284483900798284,0.017274855015438795,1685.0,1011.0
7,periodic,6,7,12,0.45,0,2000.0,42,4,59.57906120070327,0.7429968239936062,0.7342719100863263,0.008724913907279919,1515.0,1515.0
8,periodic,6,7,12,0.45,0,2000.0,14,1,48.72508639348093,0.7713270912010354,0.7368558975935454,0.03447119360748996,1978.0,1935.0
8,periodic,6,7,12,0.45,0,2000.0,28,1,48.72508639348093,0.7882610600812591,0.7465811746919194,0.041679885389339644,1955.0,1785.0
8,periodic,6,7,12,0.45,0,2000.0,42,1,48.72508639348093,0.7795885609267565,0.7452857662946435,0.034302794632113054,1905.0,1905.0
8,periodic,6,7,12,0.45,0,2000.0,14,2,48.72508639348093,0.7483986920083571,0.6954640418489583,0.0529346501593988,1955.0,1785.0
8,periodic,6,7,12,0.45,0,2000.0,28,2,48.72508639348093,0.743976961432232,0.7188793619057154,0.02509759952651658,1859.0,1521.0
8,periodic,6,7,12,0.45,0,2000.0,42,2,48.72508639348093,0.7709364385649461,0.7443485018809388,0.026587936684007274,1771.0,1518.0
8,periodic,6,7,12,0.45,0,2000.0,14,4,48.72508639348093,0.7405666601792825,0.7012520458159948,0.03931461436328776,1859.0,1521.0
8,periodic,6,7,12,0.45,0,2000.0,28,4,48.72508639348093,0.7288440103755696,0.7039785830563119,0.02486542731925767,1685.0,1011.0
8,periodic,6,7,12,0.45,0,2000.0,42,4,48.72508639348093,0.7321783565247608,0.7151222360217028,0.017056120503058048,1515.0,1515.0
9,periodic,6,7,12,0.45,0,2000.0,14,1,67.33335123009367,0.8011593921828079,0.7807726915911343,0.02038670059167358,1978.0,1935.0
9,periodic,6,7,12,0.45,0,2000.0,28,1,67.33335123009367,0.7992386894847128,0.7839960228941055,0.015242666590607246,1955.0,1785.0
9,periodic,6,7,12,0.45,0,2000.0,42,1,67.33335123009367,0.8414516372960491,0.821680110666349,0.019771526629700054,1905.0,1905.0
9,periodic,6,7,12,0.45,0,2000.0,14,2,67.33335123009367,0.82825895084732,0.7818232208089074,0.046435730038412615,1955.0,1785.0
9,periodic,6,7,12,0.45,0,2000.0,28,2,67.33335123009367,0.8250758099132781,0.7758448309529657,0.049230978960312366,1859.0,1521.0
9,periodic,6,7,12,0.45,0,2000.0,42,2,67.33335123009367,0.7943362963969459,0.7767018146788855,0.01763448171806037,1771.0,1518.0
9,periodic,6,7,12,0.45,0,2000.0,14,4,67.33335123009367,0.7883545307795033,0.7645899601710839,0.02376457060841941,1859.0,1521.0
9,periodic,6,7,12,0.45,0,2000.0,28,4,67.33335123009367,0.8009183900815561,0.7705408995518835,0.030377490529672535,1685.0,1011.0
9,periodic,6,7,12,0.45,0,2000.0,42,4,67.33335123009367,0.7916616269358581,0.785563479662975,0.006098147272883048,1515.0,1515.0
10,periodic,6,7,12,0.45,0,2000.0,14,1,60.80430066195095,0.8052272339827358,0.7657364921687876,0.03949074181394818,1978.0,1935.0
10,periodic,6,7,12,0.45,0,2000.0,28,1,60.80430066195095,0.8101173172324597,0.7840388925448846,0.026078424687575152,1955.0,1785.0
10,periodic,6,7,12,0.45,0,2000.0,42,1,60.80430066195095,0.8040386326254121,0.7806463475591987,0.02339228506621338,1905.0,1905.0
10,periodic,6,7,12,0.45,0,2000.0,14,2,60.80430066195095,0.7929533620331137,0.7650745286428338,0.027878833390279967,1955.0,1785.0
10,periodic,6,7,12,0.45,0,2000.0,28,2,60.80430066195095,0.7939037134723703,0.7703400521070676,0.023563661365302746,1859.0,1521.0
10,periodic,6,7,12,0.45,0,2000.0,42,2,60.80430066195095,0.8042005901037306,0.78051276455488,0.023687825548850627,1771.0,1518.0
10,periodic,6,7,12,0.45,0,2000.0,14,4,60.80430066195095,0.7577045396922785,0.7373296102715887,0.020374929420689747,1859.0,1521.0
10,periodic,6,7,12,0.45,0,2000.0,28,4,60.80430066195095,0.7535816403441904,0.7479452048257522,0.0056364355184381765,1685.0,1011.0
10,periodic,6,7,12,0.45,0,2000.0,42,4,60.80430066195095,0.7594461030002626,0.7616562873693271,-0.002210184369064505,1515.0,1515.0
11,periodic,6,7,12,0.45,0,2000.0,14,1,67.70053231256904,0.7521546602397223,0.7605396702285443,-0.008385009988821968,1978.0,1935.0
11,periodic,6,7,12,0.45,0,2000.0,28,1,67.70053231256904,0.802783704187054,0.7778800383983502,0.024903665788703844,1955.0,1785.0
11,periodic,6,7,12,0.45,0,2000.0,42,1,67.70053231256904,0.8101081924238525,0.7900675920605383,0.02004060036331412,1905.0,1905.0
11,periodic,6,7,12,0.45,0,2000.0,14,2,67.70053231256904,0.7889199892616734,0.7751433528499171,0.013776636411756304,1955.0,1785.0
11,periodic,6,7,12,0.45,0,2000.0,28,2,67.70053231256904,0.8036010863711144,0.7796618497509928,0.02393923662012154,1859.0,1521.0
11,periodic,6,7,12,0.45,0,2000.0,42,2,67.70053231256904,0.8232377684420903,0.8091242644742449,0.014113503967845387,1771.0,1518.0
11,periodic,6,7,12,0.45,0,2000.0,14,4,67.70053231256904,0.7730703256258316,0.7462975885222858,0.026772737103545774,1859.0,1521.0
11,periodic,6,7,12,0.45,0,2000.0,28,4,67.70053231256904,0.7768848282874453,0.7510689286189697,0.02581589966847564,1685.0,1011.0
11,periodic,6,7,12,0.45,0,2000.0,42,4,67.70053231256904,0.7972410488175226,0.7886345483762189,0.008606500441303622,1515.0,1515.0
12,periodic,6,7,12,0.45,0,2000.0,14,1,62.64571255777597,0.7660899321559339,0.7467105827097507,0.019379349446183247,1978.0,1935.0
12,periodic,6,7,12,0.45,0,2000.0,28,1,62.64571255777597,0.7918480105509405,0.7788048050366047,0.013043205514335798,1955.0,1785.0
12,periodic,6,7,12,0.45,0,2000.0,42,1,62.64571255777597,0.8008232613453834,0.7961350260083949,0.004688235336988478,1905.0,1905.0
12,periodic,6,7,12,0.45,0,2000.0,14,2,62.64571255777597,0.7494298693376206,0.7219453079621774,0.027484561375443195,1955.0,1785.0
12,periodic,6,7,12,0.45,0,2000.0,28,2,62.64571255777597,0.7713544721049608,0.7575334794719868,0.013820992632973983,1859.0,1521.0
12,periodic,6,7,12,0.45,0,2000.0,42,2,62.64571255777597,0.7832334033115769,0.7782481411283202,0.004985262183256678,1771.0,1518.0
12,periodic,6,7,12,0.45,0,2000.0,14,4,62.64571255777597,0.7124328135958109,0.7146421690791022,-0.0022093554832912643,1859.0,1521.0
12,periodic,6,7,12,0.45,0,2000.0,28,4,62.64571255777597,0.7385533769783922,0.7242646352349961,0.014288741743396116,1685.0,1011.0
12,periodic,6,7,12,0.45,0,2000.0,42,4,62.64571255777597,0.7324634348859247,0.7290630525452829,0.003400382340641772,1515.0,1515.0
13,periodic,6,7,12,0.45,0,2000.0,14,1,60.299401523446925,0.8139060877100286,0.7737241867491327,0.04018190096089591,1978.0,1935.0
13,periodic,6,7,12,0.45,0,2000.0,28,1,60.299401523446925,0.7938504114597936,0.7747847001043564,0.01906571135543722,1955.0,1785.0
13,periodic,6,7,12,0.45,0,2000.0,42,1,60.299401523446925,0.8157428993648103,0.7937730824747211,0.021969816890089144,1905.0,1905.0
13,periodic,6,7,12,0.45,0,2000.0,14,2,60.299401523446925,0.7901584140688246,0.7716315716406537,0.01852684242817093,1955.0,1785.0
13,periodic,6,7,12,0.45,0,2000.0,28,2,60.299401523446925,0.7848037042797322,0.7728969361192907,0.011906768160441561,1859.0,1521.0
13,periodic,6,7,12,0.45,0,2000.0,42,2,60.299401523446925,0.7791312836566977,0.7718517267124438,0.007279556944253862,1771.0,1518.0
13,periodic,6,7,12,0.45,0,2000.0,14,4,60.299401523446925,0.7751148943769577,0.7521637444145678,0.022951149962389894,1859.0,1521.0
13,periodic,6,7,12,0.45,0,2000.0,28,4,60.299401523446925,0.7640155452925054,0.7500639276155379,0.01395161767696751,1685.0,1011.0
13,periodic,6,7,12,0.45,0,2000.0,42,4,60.299401523446925,0.7584676022593894,0.759464979660648,-0.0009973774012586034,1515.0,1515.0
